Record ID,Count point id,Direction of travel,Year,Count date,hour,Region id,Region name,Local authority name,Road name,Road Category ID,Start junction road name,End junction road name,Latitude,Longitude,Link length km,Pedal cycles,Two wheeled motor vehicles,Cars and taxis,Buses and coaches,LGV Type,HGV Type,EV Car,EV Bike
,16056,W,2014,06/02/2014 00:00,17,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,21,2946,1,408,24,6,5
19048,16056,W,2014,06/02/2014 00:00,18,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,13,2924,6,305,28,4,1
19049,16056,W,2014,06/02/2014 00:00,7,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,14,4387,1,704,122,19,33
19050,16056,W,2014,06/02/2014 00:00,8,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,14,3819,3,563,98,18,46
19051,16056,W,2014,06/02/2014 00:00,9,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,3,2516,10,603,117,20,32
19052,16056,W,2014,06/02/2014 00:00,10,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,8,2340,2,638,103,29,34
19053,16056,W,2014,06/02/2014 00:00,11,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,6,2344,5,603,124,35,34
19054,16056,W,2014,06/02/2014 00:00,12,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,4,2471,3,599,135,28,36
19055,16056,E,2014,06/02/2014 00:00,13,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,6,2306,1,480,127,10,31
19056,16056,E,2014,06/02/2014 00:00,14,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,6,2165,7,525,130,22,39
19057,16056,E,2014,06/02/2014 00:00,15,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,5,2612,1,580,131,16,48
19058,16056,E,2014,06/02/2014 00:00,16,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,6,3391,5,579,115,2,24
19059,16056,E,2014,06/02/2014 00:00,17,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,16,4018,4,439,64,7,21
19060,16056,E,2014,06/02/2014 00:00,18,5,North West,Trafford,M60,1,10,9,53.4624869,-2.348793755,1.5,0,19,3421,3,271,23,2,2
19061,37918,N,2014,09/11/2014 00:00,7,9,South East,Surrey,M25,1,12,11,51.38551118,-0.521223429,3.5,0,80,5319,10,1111,106,20,34
19062,37918,N,2014,09/11/2014 00:00,8,9,South East,Surrey,M25,1,12,11,51.38551118,-0.521223429,3.5,0,77,5321,15,666,192,33,48
